Inflation,GDP_real,GDP_nominal,DispIncome_real,DispIncome_nominal,Unemployment,Treasury3Mon,Treasury5Yr,Treasury10Yr,BBBCorpYd,Mortgage,Prime,DowJonesIndx,HousePriceIndx,ComlRealEstIndx,VIX,GDP_real_eu,Inflation_real_eu,Exchange_eu,GDP_real_apac,Inflation_real_apac,Exchange_apac,GDP_real_jp,Inflation_real_jp,Exchange_jp,GDP_real_uk,Inflation_real_uk,Exchange_uk
5.3,2,4,8.7,13.3,5.3,1.6,3.2,4.1,6.8,6.1,5.1,13016,157,224,24.1,-1.5,3.2,1.575,6,6.3,88.7,-2,1.8,106.2,-2.7,5.8,1.991
6.3,-1.9,0.8,-8.9,-5.1,6,1.5,3.1,4.1,7.2,6.3,5,11826,150,231,46.7,-2.3,3.2,1.408,3.1,2.9,91.5,-5,3.4,105.9,-6.3,5.9,1.78
-8.9,-8.2,-7.7,2.6,-3.2,6.9,0.3,2.2,3.7,9.4,5.9,4.1,9057,142,219,80.9,-6.7,-1.4,1.392,0.3,-1.1,92.2,-8.8,-2.1,90.8,-8.4,0.4,1.462
-2.7,-5.4,-4.5,-0.8,-3,8.3,0.2,1.9,3.2,9,5.1,3.3,8044,138,208,56.7,-11.2,-1.1,1.326,4.4,-1.4,94.2,-18.2,-3.6,99.2,-6.2,-0.2,1.43
2.1,-0.5,-1.2,2.9,4.7,9.3,0.2,2.3,3.7,8.2,5,3.3,9343,138,180,42.3,-1.1,0,1.402,15.1,2.3,92.2,8.7,-1.6,96.4,-0.9,2.3,1.645
3.5,1.3,1.2,-4.3,-1.9,9.6,0.2,2.5,3.8,6.8,5.2,3.3,10813,138,160,31.3,1.2,1.1,1.463,12.7,4.1,91.3,0.1,-1.4,89.5,0.6,3.6,1.6
3.2,3.9,5.2,-0.5,2.2,9.9,0.1,2.3,3.7,6.1,4.9,3.3,11385,139,160,30.7,2.2,1.6,1.433,9.2,5,90.6,5.9,-1.5,93.1,1.1,2.8,1.617
0.6,1.7,3.2,0.4,1.8,9.8,0.1,2.4,3.9,5.8,5,3.3,12032,139,152,27.3,1.7,1.8,1.353,9.8,4.4,89.8,3.5,1,93.4,2.2,4.2,1.519
-0.1,3.9,5.8,5.3,5.8,9.6,0.1,2.3,3.6,5.6,4.9,3.3,10646,138,165,45.8,3.8,2,1.229,9.7,3.4,91,5.1,-1.4,88.5,3.6,3.3,1.495
1.2,2.7,4.6,2,3.2,9.5,0.2,1.6,2.9,5.1,4.4,3.3,11814,135,165,32.9,1.8,1.6,1.36,8.8,4.2,88.4,7.5,-1.9,83.5,1.9,2.2,1.573
3.3,2.5,4.7,2.8,5,9.5,0.1,1.5,3,5,4.4,3.3,13131,134,167,23.5,2.4,2.6,1.327,9.2,7.5,87.4,-2.9,1.3,81.7,0.3,3.9,1.539
4.3,-1.5,0.2,5,8.2,9,0.1,2.1,3.5,5.4,4.8,3.3,13909,133,172,29.4,3.4,3.7,1.418,9.8,6.2,86.4,-6.1,-0.1,82.8,2.4,7,1.605
4.6,2.9,6,-0.6,3.5,9.1,0,1.8,3.3,5.1,4.7,3.3,13843,132,173,22.7,0,3.2,1.452,6.5,5.4,85.3,-1.9,-0.7,80.6,0.6,4.6,1.607
2.6,0.8,3.3,2.1,4.3,9,0,1.1,2.5,4.9,4.3,3.3,11677,133,172,48,0,1.3,1.345,5.4,5.3,87.3,10.1,0.3,77,1.5,3.5,1.562
1.8,4.6,5.2,0.2,1.6,8.6,0,1,2.1,5,4,3.3,13019,133,178,45.5,-1.4,3.5,1.297,6.7,3,87.3,-0.6,-0.6,77,0.8,3.4,1.554
2.3,2.7,4.9,6.7,9.2,8.3,0.1,0.9,2.1,4.7,3.9,3.3,14627,134,180,23,-0.6,2.8,1.333,7.4,3.2,86.2,4.6,2.2,82.4,2.6,2.3,1.599
0.8,1.9,3.8,3.1,4.4,8.2,0.1,0.8,1.8,4.5,3.8,3.3,14100,138,181,26.7,-1.4,2.3,1.267,5.9,3.9,88,-2.4,-1.4,79.8,-0.4,1.9,1.569
1.8,0.5,2.7,-0.2,1.1,8,0.1,0.7,1.6,4.2,3.6,3.3,14895,140,187,20.5,-0.6,1.6,1.286,6.6,2.2,86.1,-1.5,-1.9,77.9,4.7,2.1,1.613
2.7,0.1,1.7,10.9,13.3,7.8,0.1,0.7,1.7,3.9,3.4,3.3,14835,143,187,22.7,-1.7,2.4,1.319,7.2,3.5,86,0.9,0.1,86.6,-0.6,4.2,1.626
1.6,2.8,4.4,-15.7,-14.5,7.7,0.1,0.8,1.9,4,3.5,3.3,16396,147,190,19,-1.3,1.2,1.282,6.5,4.3,86.2,4.5,0.7,94.2,2.6,3,1.519
-0.5,0.8,1.6,2.4,2.5,7.5,0.1,0.9,2,4.1,3.7,3.3,16771,151,199,20.5,1.9,0.4,1.301,6.4,3,87.1,3.8,-0.1,99.2,2.2,1.5,1.521
2.2,3.1,5.1,2.4,3.9,7.2,0,1.5,2.7,4.9,4.4,3.3,17718,155,208,17,1.4,1.3,1.354,7.7,3.7,86.5,3.1,2.7,98.3,3.4,2.1,1.618
