track_name,artist_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_.,valence_.,energy_.,acousticness_.,instrumentalness_.,liveness_.,speechiness_.,artist1,artist2,artist3,streams_m,in_deezer_playlists_m,in_shazam_charts_m,outlier,key_m,mode_m,artist4,artist5
Stargirl Interlude,"The Weeknd, Lana Del Rey",2,2016,11,24,1275,32,611700552,13,8,5,0,1,90,F,Minor,59,52,48,38,5,10,11,The Weeknd, Lana Del Rey,"",611.700552,5,1,0,F,Minor,The Weeknd,2
Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",2,2022,6,17,5871,27,618885532,81,121,58,1,34,163,"",Major,54,40,67,0,0,9,17,Drake, 21 Savage,"",618.885532,58,34,0,"",Major,Drake,4
One Dance,"Drake, WizKid, Kyla",3,2016,4,4,43257,24,2713922350,433,107,"3,631",0,26,104,C#,Major,77,36,63,1,0,36,5,Drake, WizKid, Kyla,2713.92235,3631,26,0,C#,Major,Drake,4
Enchanted,Taylor Swift,1,2010,1,1,4564,16,621660989,24,101,113,0,40,164,G#,Major,45,24,62,8,0,16,3,Taylor Swift,"","",621.660989,113,40,0,G#,Major,Taylor Swift,1
Save Your Tears,The Weeknd,1,2020,3,20,12688,13,1591223784,197,115,112,0,200,118,"",Major,68,61,82,2,0,50,3,The Weeknd,"","",1591.223784,112,200,0,"",Major,The Weeknd,2
Reminder,The Weeknd,1,2016,11,25,6518,17,684675814,45,85,238,1,47,160,G#,Major,71,40,50,16,0,16,22,The Weeknd,"","",684.675814,238,47,0,G#,Major,The Weeknd,2
Shake It Off,Taylor Swift,1,2014,1,1,21335,13,1113838873,328,70,"1,378",9,20,160,G,Major,65,95,80,5,0,41,16,Taylor Swift,"","",1113.838873,1378,20,0,G,Major,Taylor Swift,1
Shape of You,Ed Sheeran,1,2017,1,6,32181,10,3562543890,33,0,"6,808",7,0,96,C#,Minor,83,93,65,58,0,9,8,Ed Sheeran,"","",3562.54389,6808,0,0,C#,Minor,Ed Sheeran,6
You Belong With Me (Taylor���s Ve,Taylor Swift,1,2021,4,9,2619,12,350381515,47,90,1,0,7,130,F#,Major,63,49,73,5,0,9,3,Taylor Swift,"","",350.381515,1,7,0,F#,Major,Taylor Swift,1
Titi Me Pregunt�,Bad Bunny,1,2022,5,6,9037,42,1264310836,124,133,139,14,166,107,F,Minor,65,19,72,10,0,13,25,Bad Bunny,"","",1264.310836,139,166,0,F,Minor,Bad Bunny,3
