track_name,artist_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_.,valence_.,energy_.,acousticness_.,instrumentalness_.,liveness_.,speechiness_.,artist1,artist2,artist3,streams_m,in_deezer_playlists_m,in_shazam_charts_m,outlier,key_m,mode_m,artist4,ts
Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",2,2023,5,26,359,2,60350538,1,0,9,0,0,110,F#,Minor,66,32,40,81,0,11,3,Lana Del Rey, Taylor Swift,"",60.350538,9,0,0,F#,Minor,Taylor Swift,1
Lavender Haze,Taylor Swift,1,2022,10,21,3763,8,488386797,51,43,38,10,1,97,A#,Major,73,10,44,26,0,16,8,Taylor Swift,"","",488.386797,38,1,0,A#,Major,Taylor Swift,1
All Of The Girls You Loved Before,Taylor Swift,1,2019,8,23,1282,6,185240616,26,6,19,0,5,96,D,Major,72,40,47,71,0,13,4,Taylor Swift,"","",185.240616,19,5,0,D,Major,Taylor Swift,1
Midnight Rain,Taylor Swift,1,2022,10,21,2612,4,433356509,19,29,21,0,0,140,"",Major,64,18,37,72,0,12,7,Taylor Swift,"","",433.356509,21,0,4,C,Major,Taylor Swift,1
"You're On Your Own, Kid",Taylor Swift,1,2022,10,21,2537,2,348647203,8,18,20,0,1,120,D,Major,69,40,39,41,0,13,6,Taylor Swift,"","",348.647203,20,1,0,D,Major,Taylor Swift,1
Snow On The Beach (feat. Lana Del Rey),"Taylor Swift, Lana Del Rey",2,2022,10,21,2415,0,323437194,33,57,30,0,11,110,A,Major,66,19,32,69,0,12,4,Taylor Swift, Lana Del Rey,"",323.437194,30,11,0,A,Major,Taylor Swift,1
Maroon,Taylor Swift,1,2022,10,21,2304,0,317726339,12,16,14,0,0,108,G,Major,64,4,40,6,0,10,6,Taylor Swift,"","",317.726339,14,0,0,G,Major,Taylor Swift,1
Bejeweled,Taylor Swift,1,2022,10,21,2699,0,328207708,39,35,22,2,0,164,G,Major,70,39,56,6,0,9,7,Taylor Swift,"","",328.207708,22,0,0,G,Major,Taylor Swift,1
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,1,2021,11,12,4635,5,583687007,50,49,30,1,2,93,"",Major,63,21,52,28,0,9,3,Taylor Swift,"","",583.687007,30,2,4,C,Major,Taylor Swift,1
This Love (Taylor���s Ve,Taylor Swift,1,2022,5,6,1492,0,132171975,26,2,15,0,2,144,E,Major,47,7,50,32,0,7,4,Taylor Swift,"","",132.171975,15,2,0,E,Major,Taylor Swift,1
Vigilante Shit,Taylor Swift,1,2022,10,21,1948,0,253650850,12,9,16,0,0,80,E,Minor,80,16,28,17,0,12,39,Taylor Swift,"","",253.65085,16,0,0,E,Minor,Taylor Swift,1
Question...?,Taylor Swift,1,2022,10,21,1608,0,223064273,10,3,12,0,0,109,G,Major,75,11,50,20,0,30,17,Taylor Swift,"","",223.064273,12,0,0,G,Major,Taylor Swift,1
Mastermind,Taylor Swift,1,2022,10,21,1936,0,218320587,7,5,13,0,0,126,E,Major,66,12,35,55,0,9,14,Taylor Swift,"","",218.320587,13,0,0,E,Major,Taylor Swift,1
Labyrinth,Taylor Swift,1,2022,10,21,1597,0,187339835,6,3,15,0,0,110,"",Major,48,15,31,80,22,12,4,Taylor Swift,"","",187.339835,15,0,4,C,Major,Taylor Swift,1
Sweet Nothing,Taylor Swift,1,2022,10,21,1747,0,186104310,9,6,13,0,2,177,"",Major,34,39,16,97,0,12,5,Taylor Swift,"","",186.10431,13,2,4,C,Major,Taylor Swift,1
"Would've, Could've, Should've",Taylor Swift,1,2022,10,21,1715,0,177503916,4,5,8,0,0,158,G,Major,48,55,84,43,0,15,12,Taylor Swift,"","",177.503916,8,0,0,G,Major,Taylor Swift,1
The Great War,Taylor Swift,1,2022,10,21,1274,0,181382590,1,6,11,0,0,96,F,Major,57,55,74,22,0,8,4,Taylor Swift,"","",181.38259,11,0,0,F,Major,Taylor Swift,1
Bigger Than The Whole Sky,Taylor Swift,1,2022,10,21,1180,0,121871870,4,0,8,0,0,166,F#,Major,42,7,24,83,1,12,6,Taylor Swift,"","",121.87187,8,0,0,F#,Major,Taylor Swift,1
MORE,j-hope,1,2022,7,1,565,0,155795783,6,52,11,0,0,97,D,Major,78,31,72,1,0,11,4,j-hope,"","",155.795783,11,0,0,D,Major,j-hope,0
Me and Your Mama,Childish Gambino,1,2016,11,10,8775,0,445590495,33,60,107,1,0,118,F,Major,56,25,45,1,3,7,3,Childish Gambino,"","",445.590495,107,0,0,F,Major,Childish Gambino,0
Mistletoe,Justin Bieber,1,2011,1,1,9577,0,629173063,195,111,310,0,0,162,F#,Minor,67,88,54,51,0,9,4,Justin Bieber,"","",629.173063,310,0,0,F#,Minor,Justin Bieber,0
Primera Cita,Carin Leon,1,2022,4,20,266,27,77309611,6,40,6,6,202,158,A#,Major,54,50,40,61,0,10,6,Carin Leon,"","",77.309611,6,202,0,A#,Major,Carin Leon,0
Hummingbird (Metro Boomin & James Blake),"James Blake, Metro Boomin",2,2023,6,2,277,1,39666245,1,20,5,0,1,81,F#,Major,59,26,60,46,1,25,13,James Blake, Metro Boomin,"",39.666245,5,1,0,F#,Major,James Blake,0
Merry Christmas Everyone,Shakin' Stevens,1,1984,1,1,1087,0,351636786,90,35,5,0,0,101,C#,Minor,72,91,87,14,0,13,3,Shakin' Stevens,"","",351.636786,5,0,0,C#,Minor,Shakin' Stevens,0
Born With A Beer In My Hand,Morgan Wallen,1,2023,3,3,203,0,34450974,5,9,0,0,0,148,"",Major,53,61,81,5,0,36,4,Morgan Wallen,"","",34.450974,0,0,0,"",Major,Morgan Wallen,0
Boyfriends,Harry Styles,1,2022,5,20,1517,0,137070925,26,2,30,0,0,118,"",Major,42,32,20,94,0,11,4,Harry Styles,"","",137.070925,30,0,0,"",Major,Harry Styles,0
Thinkin��� B,Morgan Wallen,1,2023,3,3,604,6,125917280,22,101,0,0,66,140,D#,Minor,66,43,76,49,0,12,3,Morgan Wallen,"","",125.91728,0,66,0,D#,Minor,Morgan Wallen,0
Shorty Party,"Cartel De Santa, La Kelly",2,2023,3,4,432,12,162887075,8,14,12,2,33,96,D,Major,93,47,47,33,0,10,36,Cartel De Santa, La Kelly,"",162.887075,12,33,0,D,Major,Cartel De Santa,0
JGL,"Luis R Conriquez, La Adictiva",2,2022,2,18,782,9,323455692,15,33,6,1,0,113,G#,Major,70,97,59,55,0,27,12,Luis R Conriquez, La Adictiva,"",323.455692,6,0,0,G#,Major,Luis R Conriquez,0
California Love - Original Version (Explicit),"Dr. Dre, 2Pac, Roger",3,1995,12,28,18773,0,579395142,128,17,"1,663",0,0,92,G,Major,77,76,84,3,0,38,4,Dr. Dre, 2Pac, Roger,579.395142,1663,0,0,G,Major,Dr. Dre,0
Without Me,Eminem,1,2002,1,1,21081,43,1687664027,98,76,"3,889",5,0,112,G,Major,92,67,66,0,0,36,9,Eminem,"","",1687.664027,3889,0,0,G,Major,Eminem,0
Matilda,Harry Styles,1,2022,5,20,3218,3,366214458,29,10,79,0,0,114,D,Major,51,39,29,90,0,10,4,Harry Styles,"","",366.214458,79,0,0,D,Major,Harry Styles,0
Todo De Ti,Rauw Alejandro,1,2020,11,2,11975,8,1168642797,188,75,268,6,16,128,D#,Minor,81,57,63,40,1,10,4,Rauw Alejandro,"","",1168.642797,268,16,0,D#,Minor,Rauw Alejandro,0
���������������������,Fujii Kaze,1,2020,5,20,685,14,403097450,24,94,9,0,23,158,F#,Minor,60,52,76,17,0,19,5,Fujii Kaze,"","",403.09745,9,23,0,F#,Minor,Fujii Kaze,0
